date,region,deaths,ppl,deaths_per_million
2020-02-24,Abruzzo,0,1293941,0.0
2020-02-25,Abruzzo,0,1293941,0.0
2020-02-26,Abruzzo,0,1293941,0.0
2020-02-27,Abruzzo,0,1293941,0.0
2020-02-28,Abruzzo,0,1293941,0.0
2020-02-29,Abruzzo,0,1293941,0.0
2020-03-01,Abruzzo,0,1293941,0.0
2020-03-02,Abruzzo,0,1293941,0.0
2020-03-03,Abruzzo,0,1293941,0.0
2020-03-04,Abruzzo,0,1293941,0.0
2020-03-05,Abruzzo,0,1293941,0.0
2020-03-06,Abruzzo,0,1293941,0.0
2020-03-07,Abruzzo,0,1293941,0.0
2020-03-08,Abruzzo,0,1293941,0.0
2020-03-09,Abruzzo,0,1293941,0.0
2020-03-10,Abruzzo,1,1293941,0.77
2020-03-11,Abruzzo,0,1293941,0.0
2020-03-12,Abruzzo,1,1293941,0.77
2020-03-13,Abruzzo,0,1293941,0.0
2020-03-14,Abruzzo,0,1293941,0.0
2020-03-15,Abruzzo,1,1293941,0.77
2020-03-16,Abruzzo,1,1293941,0.77
2020-03-17,Abruzzo,2,1293941,1.55
2020-03-18,Abruzzo,1,1293941,0.77
2020-03-19,Abruzzo,4,1293941,3.09
2020-03-20,Abruzzo,6,1293941,4.64
2020-03-21,Abruzzo,5,1293941,3.86
2020-03-22,Abruzzo,11,1293941,8.5
2020-03-23,Abruzzo,5,1293941,3.86
2020-03-24,Abruzzo,8,1293941,6.18
2020-03-25,Abruzzo,6,1293941,4.64
2020-03-26,Abruzzo,11,1293941,8.5
2020-03-27,Abruzzo,5,1293941,3.86
2020-03-28,Abruzzo,8,1293941,6.18
2020-03-29,Abruzzo,12,1293941,9.27
2020-03-30,Abruzzo,14,1293941,10.82
2020-03-31,Abruzzo,13,1293941,10.05
2020-04-01,Abruzzo,8,1293941,6.18
2020-04-02,Abruzzo,10,1293941,7.73
2020-04-03,Abruzzo,13,1293941,10.05
2020-04-04,Abruzzo,7,1293941,5.41
2020-04-05,Abruzzo,5,1293941,3.86
2020-04-06,Abruzzo,11,1293941,8.5
2020-04-07,Abruzzo,3,1293941,2.32
2020-04-08,Abruzzo,7,1293941,5.41
2020-04-09,Abruzzo,15,1293941,11.59
2020-04-10,Abruzzo,4,1293941,3.09
2020-04-11,Abruzzo,8,1293941,6.18
2020-04-12,Abruzzo,6,1293941,4.64
2020-04-13,Abruzzo,12,1293941,9.27
2020-04-14,Abruzzo,8,1293941,6.18
2020-04-15,Abruzzo,8,1293941,6.18
2020-04-16,Abruzzo,3,1293941,2.32
2020-04-17,Abruzzo,3,1293941,2.32
2020-04-18,Abruzzo,7,1293941,5.41
2020-04-19,Abruzzo,5,1293941,3.86
2020-04-20,Abruzzo,5,1293941,3.86
2020-04-21,Abruzzo,8,1293941,6.18
2020-04-22,Abruzzo,5,1293941,3.86
2020-04-23,Abruzzo,4,1293941,3.09
2020-04-24,Abruzzo,6,1293941,4.64
2020-04-25,Abruzzo,7,1293941,5.41
2020-04-26,Abruzzo,2,1293941,1.55
2020-04-27,Abruzzo,4,1293941,3.09
2020-04-28,Abruzzo,11,1293941,8.5
2020-04-29,Abruzzo,5,1293941,3.86
2020-04-30,Abruzzo,5,1293941,3.86
2020-05-01,Abruzzo,4,1293941,3.09
2020-05-02,Abruzzo,3,1293941,2.32
2020-05-03,Abruzzo,3,1293941,2.32
2020-05-04,Abruzzo,2,1293941,1.55
2020-05-05,Abruzzo,3,1293941,2.32
2020-05-06,Abruzzo,6,1293941,4.64
2020-05-07,Abruzzo,7,1293941,5.41
2020-05-08,Abruzzo,3,1293941,2.32
2020-05-09,Abruzzo,4,1293941,3.09
2020-05-10,Abruzzo,4,1293941,3.09
2020-05-11,Abruzzo,7,1293941,5.41
2020-05-12,Abruzzo,4,1293941,3.09
2020-05-13,Abruzzo,5,1293941,3.86
2020-05-14,Abruzzo,4,1293941,3.09
2020-05-15,Abruzzo,2,1293941,1.55
2020-05-16,Abruzzo,2,1293941,1.55
2020-05-17,Abruzzo,2,1293941,1.55
2020-05-18,Abruzzo,3,1293941,2.32
2020-05-19,Abruzzo,1,1293941,0.77
2020-05-20,Abruzzo,0,1293941,0.0
2020-05-21,Abruzzo,2,1293941,1.55
2020-05-22,Abruzzo,3,1293941,2.32
2020-05-23,Abruzzo,0,1293941,0.0
2020-05-24,Abruzzo,4,1293941,3.09
2020-05-25,Abruzzo,2,1293941,1.55
2020-05-26,Abruzzo,0,1293941,0.0
2020-05-27,Abruzzo,0,1293941,0.0
2020-05-28,Abruzzo,2,1293941,1.55
2020-05-29,Abruzzo,2,1293941,1.55
2020-05-30,Abruzzo,0,1293941,0.0
2020-05-31,Abruzzo,1,1293941,0.77
2020-06-01,Abruzzo,3,1293941,2.32
2020-06-02,Abruzzo,5,1293941,3.86
2020-06-03,Abruzzo,1,1293941,0.77
2020-06-04,Abruzzo,1,1293941,0.77
2020-06-05,Abruzzo,0,1293941,0.0
2020-06-06,Abruzzo,3,1293941,2.32
2020-06-07,Abruzzo,0,1293941,0.0
2020-06-08,Abruzzo,0,1293941,0.0
2020-06-09,Abruzzo,33,1293941,25.5
2020-06-10,Abruzzo,2,1293941,1.55
2020-06-11,Abruzzo,0,1293941,0.0
2020-06-12,Abruzzo,0,1293941,0.0
2020-06-13,Abruzzo,1,1293941,0.77
2020-06-14,Abruzzo,2,1293941,1.55
2020-06-15,Abruzzo,0,1293941,0.0
2020-06-16,Abruzzo,1,1293941,0.77
2020-06-17,Abruzzo,0,1293941,0.0
2020-06-18,Abruzzo,1,1293941,0.77
2020-06-19,Abruzzo,1,1293941,0.77
2020-06-20,Abruzzo,0,1293941,0.0
2020-06-21,Abruzzo,0,1293941,0.0
2020-06-22,Abruzzo,1,1293941,0.77
2020-06-23,Abruzzo,0,1293941,0.0
2020-06-24,Abruzzo,1,1293941,0.77
2020-06-25,Abruzzo,0,1293941,0.0
2020-06-26,Abruzzo,0,1293941,0.0
2020-06-27,Abruzzo,0,1293941,0.0
2020-06-28,Abruzzo,1,1293941,0.77
2020-06-29,Abruzzo,0,1293941,0.0
2020-06-30,Abruzzo,2,1293941,1.55
2020-07-01,Abruzzo,0,1293941,0.0
2020-07-02,Abruzzo,0,1293941,0.0
2020-07-03,Abruzzo,0,1293941,0.0
2020-07-04,Abruzzo,0,1293941,0.0
2020-07-05,Abruzzo,0,1293941,0.0
2020-07-06,Abruzzo,0,1293941,0.0
2020-07-07,Abruzzo,0,1293941,0.0
2020-07-08,Abruzzo,0,1293941,0.0
2020-07-09,Abruzzo,0,1293941,0.0
2020-07-10,Abruzzo,0,1293941,0.0
2020-07-11,Abruzzo,0,1293941,0.0
2020-07-12,Abruzzo,1,1293941,0.77
2020-07-13,Abruzzo,1,1293941,0.77
2020-07-14,Abruzzo,1,1293941,0.77
2020-07-15,Abruzzo,0,1293941,0.0
2020-07-16,Abruzzo,1,1293941,0.77
2020-07-17,Abruzzo,0,1293941,0.0
2020-07-18,Abruzzo,0,1293941,0.0
2020-07-19,Abruzzo,0,1293941,0.0
2020-07-20,Abruzzo,0,1293941,0.0
2020-07-21,Abruzzo,2,1293941,1.55
2020-07-22,Abruzzo,0,1293941,0.0
2020-07-23,Abruzzo,0,1293941,0.0
2020-07-24,Abruzzo,0,1293941,0.0
2020-07-25,Abruzzo,0,1293941,0.0
2020-07-26,Abruzzo,0,1293941,0.0
2020-07-27,Abruzzo,1,1293941,0.77
2020-07-28,Abruzzo,1,1293941,0.77
2020-07-29,Abruzzo,0,1293941,0.0
2020-07-30,Abruzzo,0,1293941,0.0
2020-07-31,Abruzzo,0,1293941,0.0
2020-08-01,Abruzzo,0,1293941,0.0
2020-08-02,Abruzzo,0,1293941,0.0
2020-08-03,Abruzzo,0,1293941,0.0
2020-08-04,Abruzzo,0,1293941,0.0
2020-08-05,Abruzzo,0,1293941,0.0
2020-08-06,Abruzzo,0,1293941,0.0
2020-08-07,Abruzzo,0,1293941,0.0
2020-08-08,Abruzzo,0,1293941,0.0
2020-08-09,Abruzzo,0,1293941,0.0
2020-08-10,Abruzzo,0,1293941,0.0
2020-08-11,Abruzzo,0,1293941,0.0
2020-08-12,Abruzzo,0,1293941,0.0
2020-08-13,Abruzzo,0,1293941,0.0
2020-08-14,Abruzzo,0,1293941,0.0
2020-08-15,Abruzzo,0,1293941,0.0
2020-08-16,Abruzzo,0,1293941,0.0
2020-08-17,Abruzzo,0,1293941,0.0
2020-08-18,Abruzzo,0,1293941,0.0
2020-08-19,Abruzzo,0,1293941,0.0
2020-08-20,Abruzzo,0,1293941,0.0
2020-08-21,Abruzzo,0,1293941,0.0
2020-08-22,Abruzzo,0,1293941,0.0
2020-08-23,Abruzzo,0,1293941,0.0
2020-08-24,Abruzzo,0,1293941,0.0
2020-08-25,Abruzzo,0,1293941,0.0
2020-08-26,Abruzzo,0,1293941,0.0
2020-08-27,Abruzzo,0,1293941,0.0
2020-08-28,Abruzzo,0,1293941,0.0
2020-08-29,Abruzzo,0,1293941,0.0
2020-08-30,Abruzzo,0,1293941,0.0
2020-08-31,Abruzzo,0,1293941,0.0
2020-09-01,Abruzzo,0,1293941,0.0
2020-09-02,Abruzzo,0,1293941,0.0
2020-09-03,Abruzzo,0,1293941,0.0
2020-09-04,Abruzzo,0,1293941,0.0
2020-09-05,Abruzzo,0,1293941,0.0
2020-09-06,Abruzzo,0,1293941,0.0
2020-09-07,Abruzzo,0,1293941,0.0
2020-09-08,Abruzzo,0,1293941,0.0
2020-09-09,Abruzzo,0,1293941,0.0
2020-09-10,Abruzzo,0,1293941,0.0
2020-09-11,Abruzzo,0,1293941,0.0
2020-09-12,Abruzzo,0,1293941,0.0
2020-09-13,Abruzzo,0,1293941,0.0
2020-09-14,Abruzzo,1,1293941,0.77
2020-09-15,Abruzzo,0,1293941,0.0
