month,region,deaths,year,death_type,ppl,deaths_per_million
2,Abruzzo,0.0,2020,covid,1293941,0.0
3,Abruzzo,115.0,2020,covid,1293941,88.88
4,Abruzzo,205.0,2020,covid,1293941,158.43
5,Abruzzo,85.0,2020,covid,1293941,65.69
6,Abruzzo,59.0,2020,covid,1293941,45.6
7,Abruzzo,8.0,2020,covid,1293941,6.18
8,Abruzzo,0.0,2020,covid,1293941,0.0
9,Abruzzo,9.0,2020,covid,1293941,6.96
2,Abruzzo,1362.0,2020,non-covid,1293941,1052.6
3,Abruzzo,1451.0,2020,non-covid,1293941,1121.38
4,Abruzzo,1226.0,2020,non-covid,1293941,947.49
5,Abruzzo,1123.0,2020,non-covid,1293941,867.89
6,Abruzzo,1061.0,2020,non-covid,1293941,819.98
7,Abruzzo,1147.0,2020,non-covid,1293941,886.44
8,Abruzzo,1216.0,2020,non-covid,1293941,939.76
9,Abruzzo,1029.0,2020,non-covid,1293941,795.24
2,Abruzzo,1362.0,2020,total,1293941,1052.6
3,Abruzzo,1566.0,2020,total,1293941,1210.26
4,Abruzzo,1431.0,2020,total,1293941,1105.92
5,Abruzzo,1208.0,2020,total,1293941,933.58
6,Abruzzo,1120.0,2020,total,1293941,865.57
7,Abruzzo,1155.0,2020,total,1293941,892.62
8,Abruzzo,1216.0,2020,total,1293941,939.76
9,Abruzzo,1038.0,2020,total,1293941,802.2
2,Basilicata,0.0,2020,covid,553254,0.0
3,Basilicata,7.0,2020,covid,553254,12.65
4,Basilicata,18.0,2020,covid,553254,32.53
5,Basilicata,2.0,2020,covid,553254,3.61
6,Basilicata,0.0,2020,covid,553254,0.0
7,Basilicata,1.0,2020,covid,553254,1.81
8,Basilicata,0.0,2020,covid,553254,0.0
9,Basilicata,1.0,2020,covid,553254,1.81
2,Basilicata,602.0,2020,non-covid,553254,1088.11
3,Basilicata,567.0,2020,non-covid,553254,1024.85
4,Basilicata,568.0,2020,non-covid,553254,1026.65
5,Basilicata,533.0,2020,non-covid,553254,963.39
6,Basilicata,460.0,2020,non-covid,553254,831.44
7,Basilicata,504.0,2020,non-covid,553254,910.97
8,Basilicata,517.0,2020,non-covid,553254,934.47
9,Basilicata,444.0,2020,non-covid,553254,802.52
2,Basilicata,602.0,2020,total,553254,1088.11
3,Basilicata,574.0,2020,total,553254,1037.5
4,Basilicata,586.0,2020,total,553254,1059.19
5,Basilicata,535.0,2020,total,553254,967.01
6,Basilicata,460.0,2020,total,553254,831.44
7,Basilicata,505.0,2020,total,553254,912.78
8,Basilicata,517.0,2020,total,553254,934.47
9,Basilicata,445.0,2020,total,553254,804.33
2,Calabria,0.0,2020,covid,1894110,0.0
3,Calabria,36.0,2020,covid,1894110,19.01
4,Calabria,50.0,2020,covid,1894110,26.4
5,Calabria,11.0,2020,covid,1894110,5.81
6,Calabria,0.0,2020,covid,1894110,0.0
7,Calabria,0.0,2020,covid,1894110,0.0
8,Calabria,0.0,2020,covid,1894110,0.0
9,Calabria,3.0,2020,covid,1894110,1.58
2,Calabria,1732.0,2020,non-covid,1894110,914.41
3,Calabria,1942.0,2020,non-covid,1894110,1025.28
4,Calabria,1773.0,2020,non-covid,1894110,936.06
5,Calabria,1604.0,2020,non-covid,1894110,846.84
6,Calabria,1551.0,2020,non-covid,1894110,818.85
7,Calabria,1613.0,2020,non-covid,1894110,851.59
8,Calabria,1729.0,2020,non-covid,1894110,912.83
9,Calabria,1482.0,2020,non-covid,1894110,782.43
2,Calabria,1732.0,2020,total,1894110,914.41
3,Calabria,1978.0,2020,total,1894110,1044.29
4,Calabria,1823.0,2020,total,1894110,962.46
5,Calabria,1615.0,2020,total,1894110,852.64
6,Calabria,1551.0,2020,total,1894110,818.85
7,Calabria,1613.0,2020,total,1894110,851.59
8,Calabria,1729.0,2020,total,1894110,912.83
9,Calabria,1485.0,2020,total,1894110,784.01
2,Campania,0.0,2020,covid,5712143,0.0
3,Campania,133.0,2020,covid,5712143,23.28
4,Campania,226.0,2020,covid,5712143,39.56
5,Campania,53.0,2020,covid,5712143,9.28
6,Campania,20.0,2020,covid,5712143,3.5
7,Campania,3.0,2020,covid,5712143,0.53
8,Campania,10.0,2020,covid,5712143,1.75
9,Campania,18.0,2020,covid,5712143,3.15
2,Campania,4884.0,2020,non-covid,5712143,855.02
3,Campania,4991.0,2020,non-covid,5712143,873.75
4,Campania,4354.0,2020,non-covid,5712143,762.24
5,Campania,4076.0,2020,non-covid,5712143,713.57
6,Campania,3923.0,2020,non-covid,5712143,686.78
7,Campania,4316.0,2020,non-covid,5712143,755.58
8,Campania,4320.0,2020,non-covid,5712143,756.28
9,Campania,3971.0,2020,non-covid,5712143,695.19
2,Campania,4884.0,2020,total,5712143,855.02
3,Campania,5124.0,2020,total,5712143,897.04
4,Campania,4580.0,2020,total,5712143,801.8
5,Campania,4129.0,2020,total,5712143,722.85
6,Campania,3943.0,2020,total,5712143,690.28
7,Campania,4319.0,2020,total,5712143,756.11
8,Campania,4330.0,2020,total,5712143,758.03
9,Campania,3989.0,2020,total,5712143,698.34
2,Emilia-Romagna,4.0,2020,covid,4464119,0.9
3,Emilia-Romagna,1640.0,2020,covid,4464119,367.37
4,Emilia-Romagna,1907.0,2020,covid,4464119,427.18
5,Emilia-Romagna,563.0,2020,covid,4464119,126.12
6,Emilia-Romagna,146.0,2020,covid,4464119,32.71
7,Emilia-Romagna,29.0,2020,covid,4464119,6.5
8,Emilia-Romagna,174.0,2020,covid,4464119,38.98
9,Emilia-Romagna,21.0,2020,covid,4464119,4.7
2,Emilia-Romagna,4380.0,2020,non-covid,4464119,981.16
3,Emilia-Romagna,6121.0,2020,non-covid,4464119,1371.16
4,Emilia-Romagna,4242.0,2020,non-covid,4464119,950.24
5,Emilia-Romagna,3608.0,2020,non-covid,4464119,808.22
6,Emilia-Romagna,3816.0,2020,non-covid,4464119,854.82
7,Emilia-Romagna,4075.0,2020,non-covid,4464119,912.83
8,Emilia-Romagna,3940.0,2020,non-covid,4464119,882.59
9,Emilia-Romagna,3902.0,2020,non-covid,4464119,874.08
2,Emilia-Romagna,4384.0,2020,total,4464119,982.05
3,Emilia-Romagna,7761.0,2020,total,4464119,1738.53
4,Emilia-Romagna,6149.0,2020,total,4464119,1377.43
5,Emilia-Romagna,4171.0,2020,total,4464119,934.34
6,Emilia-Romagna,3962.0,2020,total,4464119,887.52
7,Emilia-Romagna,4104.0,2020,total,4464119,919.33
8,Emilia-Romagna,4114.0,2020,total,4464119,921.57
9,Emilia-Romagna,3923.0,2020,total,4464119,878.78
2,Lazio,0.0,2020,covid,5755700,0.0
3,Lazio,162.0,2020,covid,5755700,28.15
4,Lazio,279.0,2020,covid,5755700,48.47
5,Lazio,294.0,2020,covid,5755700,51.08
6,Lazio,102.0,2020,covid,5755700,17.72
7,Lazio,26.0,2020,covid,5755700,4.52
8,Lazio,15.0,2020,covid,5755700,2.61
9,Lazio,40.0,2020,covid,5755700,6.95
2,Lazio,4877.0,2020,non-covid,5755700,847.33
3,Lazio,5257.0,2020,non-covid,5755700,913.36
4,Lazio,4702.0,2020,non-covid,5755700,816.93
5,Lazio,4203.0,2020,non-covid,5755700,730.23
6,Lazio,4184.0,2020,non-covid,5755700,726.93
7,Lazio,4704.0,2020,non-covid,5755700,817.28
8,Lazio,4782.0,2020,non-covid,5755700,830.83
9,Lazio,4369.0,2020,non-covid,5755700,759.07
2,Lazio,4877.0,2020,total,5755700,847.33
3,Lazio,5419.0,2020,total,5755700,941.5
4,Lazio,4981.0,2020,total,5755700,865.4
5,Lazio,4497.0,2020,total,5755700,781.31
6,Lazio,4286.0,2020,total,5755700,744.65
7,Lazio,4730.0,2020,total,5755700,821.79
8,Lazio,4797.0,2020,total,5755700,833.43
9,Lazio,4409.0,2020,total,5755700,766.02
2,Liguria,0.0,2020,covid,1524826,0.0
3,Liguria,428.0,2020,covid,1524826,280.69
4,Liguria,739.0,2020,covid,1524826,484.65
