date,region,deaths,ppl,deaths_per_million
2020-02-24,Abruzzo,0,1293941,0.0
2020-02-25,Abruzzo,0,1293941,0.0
2020-02-26,Abruzzo,0,1293941,0.0
2020-02-27,Abruzzo,0,1293941,0.0
2020-02-28,Abruzzo,0,1293941,0.0
2020-02-29,Abruzzo,0,1293941,0.0
2020-03-01,Abruzzo,0,1293941,0.0
2020-03-02,Abruzzo,0,1293941,0.0
2020-03-03,Abruzzo,0,1293941,0.0
2020-03-04,Abruzzo,0,1293941,0.0
2020-03-05,Abruzzo,0,1293941,0.0
2020-03-06,Abruzzo,0,1293941,0.0
2020-03-07,Abruzzo,0,1293941,0.0
2020-03-08,Abruzzo,0,1293941,0.0
2020-03-09,Abruzzo,0,1293941,0.0
2020-03-10,Abruzzo,1,1293941,0.77
2020-03-11,Abruzzo,1,1293941,0.77
2020-03-12,Abruzzo,2,1293941,1.55
2020-03-13,Abruzzo,2,1293941,1.55
2020-03-14,Abruzzo,2,1293941,1.55
2020-03-15,Abruzzo,3,1293941,2.32
2020-03-16,Abruzzo,4,1293941,3.09
2020-03-17,Abruzzo,6,1293941,4.64
2020-03-18,Abruzzo,7,1293941,5.41
2020-03-19,Abruzzo,11,1293941,8.5
2020-03-20,Abruzzo,17,1293941,13.14
2020-03-21,Abruzzo,22,1293941,17.0
2020-03-22,Abruzzo,33,1293941,25.5
2020-03-23,Abruzzo,38,1293941,29.37
2020-03-24,Abruzzo,46,1293941,35.55
2020-03-25,Abruzzo,52,1293941,40.19
2020-03-26,Abruzzo,63,1293941,48.69
2020-03-27,Abruzzo,68,1293941,52.55
2020-03-28,Abruzzo,76,1293941,58.74
2020-03-29,Abruzzo,88,1293941,68.01
2020-03-30,Abruzzo,102,1293941,78.83
2020-03-31,Abruzzo,115,1293941,88.88
2020-04-01,Abruzzo,123,1293941,95.06
2020-04-02,Abruzzo,133,1293941,102.79
2020-04-03,Abruzzo,146,1293941,112.83
2020-04-04,Abruzzo,153,1293941,118.24
2020-04-05,Abruzzo,158,1293941,122.11
2020-04-06,Abruzzo,169,1293941,130.61
2020-04-07,Abruzzo,172,1293941,132.93
2020-04-08,Abruzzo,179,1293941,138.34
2020-04-09,Abruzzo,194,1293941,149.93
2020-04-10,Abruzzo,198,1293941,153.02
2020-04-11,Abruzzo,206,1293941,159.2
2020-04-12,Abruzzo,212,1293941,163.84
2020-04-13,Abruzzo,224,1293941,173.11
2020-04-14,Abruzzo,232,1293941,179.3
2020-04-15,Abruzzo,240,1293941,185.48
2020-04-16,Abruzzo,243,1293941,187.8
2020-04-17,Abruzzo,246,1293941,190.12
2020-04-18,Abruzzo,253,1293941,195.53
2020-04-19,Abruzzo,258,1293941,199.39
2020-04-20,Abruzzo,263,1293941,203.26
2020-04-21,Abruzzo,271,1293941,209.44
2020-04-22,Abruzzo,276,1293941,213.3
2020-04-23,Abruzzo,280,1293941,216.39
2020-04-24,Abruzzo,286,1293941,221.03
2020-04-25,Abruzzo,293,1293941,226.44
2020-04-26,Abruzzo,295,1293941,227.99
2020-04-27,Abruzzo,299,1293941,231.08
2020-04-28,Abruzzo,310,1293941,239.58
2020-04-29,Abruzzo,315,1293941,243.44
2020-04-30,Abruzzo,320,1293941,247.31
2020-05-01,Abruzzo,324,1293941,250.4
2020-05-02,Abruzzo,327,1293941,252.72
2020-05-03,Abruzzo,330,1293941,255.03
2020-05-04,Abruzzo,332,1293941,256.58
2020-05-05,Abruzzo,335,1293941,258.9
2020-05-06,Abruzzo,341,1293941,263.54
2020-05-07,Abruzzo,348,1293941,268.95
2020-05-08,Abruzzo,351,1293941,271.26
2020-05-09,Abruzzo,355,1293941,274.36
2020-05-10,Abruzzo,359,1293941,277.45
2020-05-11,Abruzzo,366,1293941,282.86
2020-05-12,Abruzzo,370,1293941,285.95
2020-05-13,Abruzzo,375,1293941,289.81
2020-05-14,Abruzzo,379,1293941,292.9
2020-05-15,Abruzzo,381,1293941,294.45
2020-05-16,Abruzzo,383,1293941,295.99
2020-05-17,Abruzzo,385,1293941,297.54
2020-05-18,Abruzzo,388,1293941,299.86
2020-05-19,Abruzzo,389,1293941,300.63
2020-05-20,Abruzzo,389,1293941,300.63
2020-05-21,Abruzzo,391,1293941,302.18
2020-05-22,Abruzzo,394,1293941,304.5
2020-05-23,Abruzzo,394,1293941,304.5
2020-05-24,Abruzzo,398,1293941,307.59
2020-05-25,Abruzzo,400,1293941,309.13
2020-05-26,Abruzzo,400,1293941,309.13
2020-05-27,Abruzzo,400,1293941,309.13
2020-05-28,Abruzzo,402,1293941,310.68
2020-05-29,Abruzzo,404,1293941,312.22
2020-05-30,Abruzzo,404,1293941,312.22
2020-05-31,Abruzzo,405,1293941,313.0
2020-06-01,Abruzzo,408,1293941,315.32
2020-06-02,Abruzzo,413,1293941,319.18
2020-06-03,Abruzzo,414,1293941,319.95
2020-06-04,Abruzzo,415,1293941,320.73
2020-06-05,Abruzzo,415,1293941,320.73
2020-06-06,Abruzzo,418,1293941,323.04
2020-06-07,Abruzzo,418,1293941,323.04
2020-06-08,Abruzzo,418,1293941,323.04
2020-06-09,Abruzzo,451,1293941,348.55
2020-06-10,Abruzzo,453,1293941,350.09
2020-06-11,Abruzzo,453,1293941,350.09
2020-06-12,Abruzzo,453,1293941,350.09
2020-06-13,Abruzzo,454,1293941,350.87
2020-06-14,Abruzzo,456,1293941,352.41
2020-06-15,Abruzzo,456,1293941,352.41
2020-06-16,Abruzzo,457,1293941,353.18
2020-06-17,Abruzzo,457,1293941,353.18
2020-06-18,Abruzzo,458,1293941,353.96
2020-06-19,Abruzzo,459,1293941,354.73
2020-06-20,Abruzzo,459,1293941,354.73
2020-06-21,Abruzzo,459,1293941,354.73
2020-06-22,Abruzzo,460,1293941,355.5
2020-06-23,Abruzzo,460,1293941,355.5
2020-06-24,Abruzzo,461,1293941,356.28
2020-06-25,Abruzzo,461,1293941,356.28
2020-06-26,Abruzzo,461,1293941,356.28
2020-06-27,Abruzzo,461,1293941,356.28
2020-06-28,Abruzzo,462,1293941,357.05
2020-06-29,Abruzzo,462,1293941,357.05
2020-06-30,Abruzzo,464,1293941,358.59
2020-07-01,Abruzzo,464,1293941,358.59
2020-07-02,Abruzzo,464,1293941,358.59
2020-07-03,Abruzzo,464,1293941,358.59
2020-07-04,Abruzzo,464,1293941,358.59
2020-07-05,Abruzzo,464,1293941,358.59
2020-07-06,Abruzzo,464,1293941,358.59
2020-07-07,Abruzzo,464,1293941,358.59
2020-07-08,Abruzzo,464,1293941,358.59
2020-07-09,Abruzzo,464,1293941,358.59
2020-07-10,Abruzzo,464,1293941,358.59
2020-07-11,Abruzzo,464,1293941,358.59
2020-07-12,Abruzzo,465,1293941,359.37
2020-07-13,Abruzzo,466,1293941,360.14
2020-07-14,Abruzzo,467,1293941,360.91
2020-07-15,Abruzzo,467,1293941,360.91
2020-07-16,Abruzzo,468,1293941,361.69
2020-07-17,Abruzzo,468,1293941,361.69
2020-07-18,Abruzzo,468,1293941,361.69
2020-07-19,Abruzzo,468,1293941,361.69
2020-07-20,Abruzzo,468,1293941,361.69
2020-07-21,Abruzzo,470,1293941,363.23
2020-07-22,Abruzzo,470,1293941,363.23
2020-07-23,Abruzzo,470,1293941,363.23
2020-07-24,Abruzzo,470,1293941,363.23
2020-07-25,Abruzzo,470,1293941,363.23
2020-07-26,Abruzzo,470,1293941,363.23
2020-07-27,Abruzzo,471,1293941,364.0
2020-07-28,Abruzzo,472,1293941,364.78
2020-07-29,Abruzzo,472,1293941,364.78
2020-07-30,Abruzzo,472,1293941,364.78
2020-07-31,Abruzzo,472,1293941,364.78
2020-08-01,Abruzzo,472,1293941,364.78
2020-08-02,Abruzzo,472,1293941,364.78
2020-08-03,Abruzzo,472,1293941,364.78
2020-08-04,Abruzzo,472,1293941,364.78
2020-08-05,Abruzzo,472,1293941,364.78
2020-08-06,Abruzzo,472,1293941,364.78
2020-08-07,Abruzzo,472,1293941,364.78
2020-08-08,Abruzzo,472,1293941,364.78
2020-08-09,Abruzzo,472,1293941,364.78
2020-08-10,Abruzzo,472,1293941,364.78
2020-08-11,Abruzzo,472,1293941,364.78
2020-08-12,Abruzzo,472,1293941,364.78
2020-08-13,Abruzzo,472,1293941,364.78
2020-08-14,Abruzzo,472,1293941,364.78
2020-08-15,Abruzzo,472,1293941,364.78
2020-08-16,Abruzzo,472,1293941,364.78
2020-08-17,Abruzzo,472,1293941,364.78
2020-08-18,Abruzzo,472,1293941,364.78
2020-08-19,Abruzzo,472,1293941,364.78
2020-08-20,Abruzzo,472,1293941,364.78
2020-08-21,Abruzzo,472,1293941,364.78
2020-08-22,Abruzzo,472,1293941,364.78
2020-08-23,Abruzzo,472,1293941,364.78
2020-08-24,Abruzzo,472,1293941,364.78
2020-08-25,Abruzzo,472,1293941,364.78
2020-08-26,Abruzzo,472,1293941,364.78
2020-08-27,Abruzzo,472,1293941,364.78
2020-08-28,Abruzzo,472,1293941,364.78
2020-08-29,Abruzzo,472,1293941,364.78
2020-08-30,Abruzzo,472,1293941,364.78
2020-08-31,Abruzzo,472,1293941,364.78
2020-09-01,Abruzzo,472,1293941,364.78
2020-09-02,Abruzzo,472,1293941,364.78
2020-09-03,Abruzzo,472,1293941,364.78
2020-09-04,Abruzzo,472,1293941,364.78
2020-09-05,Abruzzo,472,1293941,364.78
2020-09-06,Abruzzo,472,1293941,364.78
2020-09-07,Abruzzo,472,1293941,364.78
2020-09-08,Abruzzo,472,1293941,364.78
2020-09-09,Abruzzo,472,1293941,364.78
2020-09-10,Abruzzo,472,1293941,364.78
2020-09-11,Abruzzo,472,1293941,364.78
2020-09-12,Abruzzo,472,1293941,364.78
2020-09-13,Abruzzo,472,1293941,364.78
2020-09-14,Abruzzo,473,1293941,365.55
2020-09-15,Abruzzo,473,1293941,365.55
