date,region,deaths
2020-02-24,Abruzzo,0
2020-02-24,Basilicata,0
2020-02-24,Calabria,0
2020-02-24,Campania,0
2020-02-24,Emilia-Romagna,0
2020-02-24,Friuli Venezia Giulia,0
2020-02-24,Lazio,0
2020-02-24,Liguria,0
2020-02-24,Lombardia,6
2020-02-24,Marche,0
2020-02-24,Molise,0
2020-02-24,Piemonte,0
2020-02-24,Puglia,0
2020-02-24,Sardegna,0
2020-02-24,Sicilia,0
2020-02-24,Toscana,0
2020-02-24,Trentino-Alto Adige,0
2020-02-24,Umbria,0
2020-02-24,Valle d'Aosta,0
2020-02-24,Veneto,1
2020-02-25,Abruzzo,0
2020-02-25,Basilicata,0
2020-02-25,Calabria,0
2020-02-25,Campania,0
2020-02-25,Emilia-Romagna,0
2020-02-25,Friuli Venezia Giulia,0
2020-02-25,Lazio,0
2020-02-25,Liguria,0
2020-02-25,Lombardia,9
2020-02-25,Marche,0
2020-02-25,Molise,0
2020-02-25,Piemonte,0
2020-02-25,Puglia,0
2020-02-25,Sardegna,0
2020-02-25,Sicilia,0
2020-02-25,Toscana,0
2020-02-25,Trentino-Alto Adige,0
2020-02-25,Umbria,0
2020-02-25,Valle d'Aosta,0
2020-02-25,Veneto,1
2020-02-26,Abruzzo,0
2020-02-26,Basilicata,0
2020-02-26,Calabria,0
2020-02-26,Campania,0
2020-02-26,Emilia-Romagna,1
2020-02-26,Friuli Venezia Giulia,0
2020-02-26,Lazio,0
2020-02-26,Liguria,0
2020-02-26,Lombardia,9
2020-02-26,Marche,0
2020-02-26,Molise,0
2020-02-26,Piemonte,0
2020-02-26,Puglia,0
2020-02-26,Sardegna,0
2020-02-26,Sicilia,0
2020-02-26,Toscana,0
2020-02-26,Trentino-Alto Adige,0
2020-02-26,Umbria,0
2020-02-26,Valle d'Aosta,0
2020-02-26,Veneto,2
2020-02-27,Abruzzo,0
2020-02-27,Basilicata,0
2020-02-27,Calabria,0
2020-02-27,Campania,0
2020-02-27,Emilia-Romagna,1
2020-02-27,Friuli Venezia Giulia,0
2020-02-27,Lazio,0
2020-02-27,Liguria,0
2020-02-27,Lombardia,14
2020-02-27,Marche,0
2020-02-27,Molise,0
2020-02-27,Piemonte,0
2020-02-27,Puglia,0
2020-02-27,Sardegna,0
2020-02-27,Sicilia,0
2020-02-27,Toscana,0
2020-02-27,Trentino-Alto Adige,0
2020-02-27,Umbria,0
2020-02-27,Valle d'Aosta,0
2020-02-27,Veneto,2
2020-02-28,Abruzzo,0
2020-02-28,Basilicata,0
2020-02-28,Calabria,0
2020-02-28,Campania,0
2020-02-28,Emilia-Romagna,2
2020-02-28,Friuli Venezia Giulia,0
2020-02-28,Lazio,0
2020-02-28,Liguria,0
2020-02-28,Lombardia,17
2020-02-28,Marche,0
2020-02-28,Molise,0
2020-02-28,Piemonte,0
2020-02-28,Puglia,0
2020-02-28,Sardegna,0
2020-02-28,Sicilia,0
2020-02-28,Toscana,0
2020-02-28,Trentino-Alto Adige,0
2020-02-28,Umbria,0
2020-02-28,Valle d'Aosta,0
2020-02-28,Veneto,2
2020-02-29,Abruzzo,0
2020-02-29,Basilicata,0
2020-02-29,Calabria,0
2020-02-29,Campania,0
2020-02-29,Emilia-Romagna,4
2020-02-29,Friuli Venezia Giulia,0
2020-02-29,Lazio,0
2020-02-29,Liguria,0
2020-02-29,Lombardia,23
2020-02-29,Marche,0
2020-02-29,Molise,0
2020-02-29,Piemonte,0
2020-02-29,Puglia,0
2020-02-29,Sardegna,0
2020-02-29,Sicilia,0
2020-02-29,Toscana,0
2020-02-29,Trentino-Alto Adige,0
2020-02-29,Umbria,0
2020-02-29,Valle d'Aosta,0
2020-02-29,Veneto,2
2020-03-01,Abruzzo,0
2020-03-01,Basilicata,0
2020-03-01,Calabria,0
2020-03-01,Campania,0
2020-03-01,Emilia-Romagna,8
2020-03-01,Friuli Venezia Giulia,0
2020-03-01,Lazio,0
2020-03-01,Liguria,0
2020-03-01,Lombardia,24
2020-03-01,Marche,0
2020-03-01,Molise,0
2020-03-01,Piemonte,0
2020-03-01,Puglia,0
2020-03-01,Sardegna,0
2020-03-01,Sicilia,0
2020-03-01,Toscana,0
2020-03-01,Trentino-Alto Adige,0
2020-03-01,Umbria,0
2020-03-01,Valle d'Aosta,0
2020-03-01,Veneto,2
2020-03-02,Abruzzo,0
2020-03-02,Basilicata,0
2020-03-02,Calabria,0
2020-03-02,Campania,0
2020-03-02,Emilia-Romagna,11
2020-03-02,Friuli Venezia Giulia,0
2020-03-02,Lazio,0
2020-03-02,Liguria,0
2020-03-02,Lombardia,38
2020-03-02,Marche,1
2020-03-02,Molise,0
2020-03-02,Piemonte,0
2020-03-02,Puglia,0
2020-03-02,Sardegna,0
2020-03-02,Sicilia,0
2020-03-02,Toscana,0
2020-03-02,Trentino-Alto Adige,0
2020-03-02,Umbria,0
2020-03-02,Valle d'Aosta,0
2020-03-02,Veneto,2
2020-03-03,Abruzzo,0
2020-03-03,Basilicata,0
2020-03-03,Calabria,0
2020-03-03,Campania,0
2020-03-03,Emilia-Romagna,18
2020-03-03,Friuli Venezia Giulia,0
2020-03-03,Lazio,0
2020-03-03,Liguria,1
2020-03-03,Lombardia,55
2020-03-03,Marche,2
2020-03-03,Molise,0
2020-03-03,Piemonte,0
2020-03-03,Puglia,0
2020-03-03,Sardegna,0
2020-03-03,Sicilia,0
2020-03-03,Toscana,0
2020-03-03,Trentino-Alto Adige,0
2020-03-03,Umbria,0
2020-03-03,Valle d'Aosta,0
2020-03-03,Veneto,3
2020-03-04,Abruzzo,0
2020-03-04,Basilicata,0
2020-03-04,Calabria,0
2020-03-04,Campania,0
2020-03-04,Emilia-Romagna,22
2020-03-04,Friuli Venezia Giulia,0
2020-03-04,Lazio,0
2020-03-04,Liguria,1
2020-03-04,Lombardia,73
2020-03-04,Marche,4
2020-03-04,Molise,0
2020-03-04,Piemonte,0
2020-03-04,Puglia,1
2020-03-04,Sardegna,0
2020-03-04,Sicilia,0
2020-03-04,Toscana,0
2020-03-04,Trentino-Alto Adige,0
2020-03-04,Umbria,0
2020-03-04,Valle d'Aosta,0
2020-03-04,Veneto,6
2020-03-05,Abruzzo,0
2020-03-05,Basilicata,0
2020-03-05,Calabria,0
2020-03-05,Campania,0
2020-03-05,Emilia-Romagna,30
2020-03-05,Friuli Venezia Giulia,0
2020-03-05,Lazio,0
2020-03-05,Liguria,3
2020-03-05,Lombardia,98
2020-03-05,Marche,4
2020-03-05,Molise,0
2020-03-05,Piemonte,2
2020-03-05,Puglia,1
2020-03-05,Sardegna,0
2020-03-05,Sicilia,0
2020-03-05,Toscana,0
2020-03-05,Trentino-Alto Adige,0
2020-03-05,Umbria,0
2020-03-05,Valle d'Aosta,0
2020-03-05,Veneto,10
2020-03-06,Abruzzo,0
2020-03-06,Basilicata,0
2020-03-06,Calabria,0
2020-03-06,Campania,0
2020-03-06,Emilia-Romagna,37
2020-03-06,Friuli Venezia Giulia,0
2020-03-06,Lazio,1
2020-03-06,Liguria,3
2020-03-06,Lombardia,135
2020-03-06,Marche,4
2020-03-06,Molise,0
2020-03-06,Piemonte,4
2020-03-06,Puglia,1
2020-03-06,Sardegna,0
2020-03-06,Sicilia,0
2020-03-06,Toscana,0
2020-03-06,Trentino-Alto Adige,0
2020-03-06,Umbria,0
2020-03-06,Valle d'Aosta,0
2020-03-06,Veneto,12
2020-03-07,Abruzzo,0
2020-03-07,Basilicata,0
2020-03-07,Calabria,0
2020-03-07,Campania,0
2020-03-07,Emilia-Romagna,48
2020-03-07,Friuli Venezia Giulia,0
2020-03-07,Lazio,1
2020-03-07,Liguria,4
2020-03-07,Lombardia,154
2020-03-07,Marche,6
2020-03-07,Molise,0
2020-03-07,Piemonte,5
2020-03-07,Puglia,2
2020-03-07,Sardegna,0
2020-03-07,Sicilia,0
2020-03-07,Toscana,0
2020-03-07,Trentino-Alto Adige,0
2020-03-07,Umbria,0
2020-03-07,Valle d'Aosta,0
2020-03-07,Veneto,13
2020-03-08,Abruzzo,0
2020-03-08,Basilicata,0
2020-03-08,Calabria,0
2020-03-08,Campania,0
2020-03-08,Emilia-Romagna,56
2020-03-08,Friuli Venezia Giulia,1
2020-03-08,Lazio,3
2020-03-08,Liguria,6
2020-03-08,Lombardia,267
2020-03-08,Marche,7
2020-03-08,Molise,0
2020-03-08,Piemonte,5
2020-03-08,Puglia,3
2020-03-08,Sardegna,0
2020-03-08,Sicilia,0
2020-03-08,Toscana,0
2020-03-08,Trentino-Alto Adige,0
2020-03-08,Umbria,0
2020-03-08,Valle d'Aosta,0
2020-03-08,Veneto,18
2020-03-09,Abruzzo,0
2020-03-09,Basilicata,0
2020-03-09,Calabria,0
2020-03-09,Campania,0
2020-03-09,Emilia-Romagna,70
2020-03-09,Friuli Venezia Giulia,1
2020-03-09,Lazio,5
2020-03-09,Liguria,7
2020-03-09,Lombardia,333
2020-03-09,Marche,10
2020-03-09,Molise,0
2020-03-09,Piemonte,13
2020-03-09,Puglia,3
2020-03-09,Sardegna,0
2020-03-09,Sicilia,0
2020-03-09,Toscana,1
2020-03-09,Trentino-Alto Adige,0
2020-03-09,Umbria,0
2020-03-09,Valle d'Aosta,0
2020-03-09,Veneto,20
2020-03-10,Abruzzo,1
2020-03-10,Basilicata,0
2020-03-10,Calabria,0
2020-03-10,Campania,0
2020-03-10,Emilia-Romagna,85
2020-03-10,Friuli Venezia Giulia,3
2020-03-10,Lazio,6
2020-03-10,Liguria,8
2020-03-10,Lombardia,468
2020-03-10,Marche,13
2020-03-10,Molise,0
2020-03-10,Piemonte,17
2020-03-10,Puglia,3
2020-03-10,Sardegna,0
2020-03-10,Sicilia,0
2020-03-10,Toscana,1
2020-03-10,Trentino-Alto Adige,0
2020-03-10,Umbria,0
2020-03-10,Valle d'Aosta,0
2020-03-10,Veneto,26
2020-03-11,Abruzzo,1
2020-03-11,Basilicata,0
2020-03-11,Calabria,0
2020-03-11,Campania,1
2020-03-11,Emilia-Romagna,113
2020-03-11,Friuli Venezia Giulia,6
2020-03-11,Lazio,6
2020-03-11,Liguria,8
2020-03-11,Lombardia,617
2020-03-11,Marche,18
2020-03-11,Molise,0
2020-03-11,Piemonte,21
2020-03-11,Puglia,5
2020-03-11,Sardegna,0
2020-03-11,Sicilia,0
2020-03-11,Toscana,1
2020-03-11,Trentino-Alto Adige,0
2020-03-11,Umbria,0
2020-03-11,Valle d'Aosta,1
2020-03-11,Veneto,29
2020-03-12,Abruzzo,2
2020-03-12,Basilicata,0
2020-03-12,Calabria,0
2020-03-12,Campania,1
2020-03-12,Emilia-Romagna,146
2020-03-12,Friuli Venezia Giulia,8
2020-03-12,Lazio,9
2020-03-12,Liguria,11
2020-03-12,Lombardia,744
2020-03-12,Marche,22
2020-03-12,Molise,0
2020-03-12,Piemonte,26
2020-03-12,Puglia,5
2020-03-12,Sardegna,0
2020-03-12,Sicilia,2
2020-03-12,Toscana,5
2020-03-12,Trentino-Alto Adige,2
2020-03-12,Umbria,0
2020-03-12,Valle d'Aosta,1
2020-03-12,Veneto,32
2020-03-13,Abruzzo,2
2020-03-13,Basilicata,0
2020-03-13,Calabria,0
2020-03-13,Campania,2
2020-03-13,Emilia-Romagna,201
2020-03-13,Friuli Venezia Giulia,10
2020-03-13,Lazio,11
2020-03-13,Liguria,17
2020-03-13,Lombardia,890
2020-03-13,Marche,27
2020-03-13,Molise,0
2020-03-13,Piemonte,46
2020-03-13,Puglia,5
2020-03-13,Sardegna,0
2020-03-13,Sicilia,2
2020-03-13,Toscana,5
2020-03-13,Trentino-Alto Adige,4
2020-03-13,Umbria,1
2020-03-13,Valle d'Aosta,1
2020-03-13,Veneto,42
2020-03-14,Abruzzo,2
2020-03-14,Basilicata,0
2020-03-14,Calabria,0
2020-03-14,Campania,6
2020-03-14,Emilia-Romagna,241
2020-03-14,Friuli Venezia Giulia,13
2020-03-14,Lazio,13
2020-03-14,Liguria,27
2020-03-14,Lombardia,966
2020-03-14,Marche,36
2020-03-14,Molise,0
2020-03-14,Piemonte,59
2020-03-14,Puglia,8
2020-03-14,Sardegna,0
2020-03-14,Sicilia,2
2020-03-14,Toscana,6
2020-03-14,Trentino-Alto Adige,5
2020-03-14,Umbria,1
2020-03-14,Valle d'Aosta,1
2020-03-14,Veneto,55
2020-03-15,Abruzzo,3
2020-03-15,Basilicata,0
2020-03-15,Calabria,1
2020-03-15,Campania,9
2020-03-15,Emilia-Romagna,284
2020-03-15,Friuli Venezia Giulia,14
2020-03-15,Lazio,16
2020-03-15,Liguria,33
2020-03-15,Lombardia,1218
2020-03-15,Marche,46
2020-03-15,Molise,0
2020-03-15,Piemonte,81
2020-03-15,Puglia,16
2020-03-15,Sardegna,2
2020-03-15,Sicilia,2
2020-03-15,Toscana,8
2020-03-15,Trentino-Alto Adige,11
2020-03-15,Umbria,1
2020-03-15,Valle d'Aosta,1
2020-03-15,Veneto,63
2020-03-16,Abruzzo,4
2020-03-16,Basilicata,0
2020-03-16,Calabria,1
2020-03-16,Campania,9
2020-03-16,Emilia-Romagna,346
2020-03-16,Friuli Venezia Giulia,22
2020-03-16,Lazio,19
2020-03-16,Liguria,50
2020-03-16,Lombardia,1420
2020-03-16,Marche,57
2020-03-16,Molise,1
2020-03-16,Piemonte,111
2020-03-16,Puglia,16
2020-03-16,Sardegna,2
2020-03-16,Sicilia,2
2020-03-16,Toscana,14
2020-03-16,Trentino-Alto Adige,12
2020-03-16,Umbria,1
2020-03-16,Valle d'Aosta,2
2020-03-16,Veneto,69
2020-03-17,Abruzzo,6
2020-03-17,Basilicata,0
2020-03-17,Calabria,1
2020-03-17,Campania,9
2020-03-17,Emilia-Romagna,393
2020-03-17,Friuli Venezia Giulia,30
2020-03-17,Lazio,23
2020-03-17,Liguria,60
2020-03-17,Lombardia,1640
2020-03-17,Marche,69
2020-03-17,Molise,1
2020-03-17,Piemonte,133
2020-03-17,Puglia,18
2020-03-17,Sardegna,2
2020-03-17,Sicilia,3
2020-03-17,Toscana,17
2020-03-17,Trentino-Alto Adige,15
2020-03-17,Umbria,1
2020-03-17,Valle d'Aosta,2
2020-03-17,Veneto,80
2020-03-18,Abruzzo,7
2020-03-18,Basilicata,0
2020-03-18,Calabria,1
2020-03-18,Campania,9
2020-03-18,Emilia-Romagna,458
2020-03-18,Friuli Venezia Giulia,31
2020-03-18,Lazio,32
2020-03-18,Liguria,73
2020-03-18,Lombardia,1959
