month,region,covid_deaths_2020,avg_deaths,noncovid_deaths_2020,tot_deaths_2015,tot_deaths_2016,tot_deaths_2017,tot_deaths_2018,tot_deaths_2019,tot_deaths_2020
2,Abruzzo,0.0,1359.4,1362.0,1468,1242,1337,1348,1402,1362
2,Basilicata,0.0,581.6,602.0,600,553,522,573,660,602
2,Calabria,0.0,1858.6,1732.0,2001,1752,1779,1770,1991,1732
2,Campania,0.0,4970.8,4884.0,5363,4512,4793,5043,5143,4884
2,Emilia-Romagna,4.0,4437.0,4380.0,4767,4170,4334,4344,4570,4384
2,Lazio,0.0,5122.0,4877.0,5439,4663,5076,4974,5458,4877
2,Liguria,0.0,1951.2,1762.0,2176,1796,1880,1942,1962,1762
2,Lombardia,17.0,8833.2,8893.0,9342,8142,8631,8539,9512,8910
2,Marche,0.0,1551.2,1503.0,1681,1446,1494,1491,1644,1503
2,Molise,0.0,335.2,303.0,345,312,317,368,334,303
2,Piemonte,0.0,4776.8,4550.0,5207,4286,4686,4545,5160,4550
2,Puglia,0.0,3503.4,3486.0,3613,3365,3354,3402,3783,3486
2,Sardegna,0.0,1517.6,1496.0,1668,1433,1445,1569,1473,1496
2,Sicilia,0.0,5016.4,4594.0,5178,4680,5060,5017,5147,4594
2,Toscana,0.0,3890.6,3693.0,4237,3509,3843,3868,3996,3693
2,Trentino-Alto Adige,0.0,848.8,890.0,910,840,835,794,865,890
2,Umbria,0.0,913.0,871.0,1030,857,863,860,955,871
2,Valle d'Aosta,0.0,129.8,130.0,142,121,126,135,125,130
2,Veneto,1.0,4456.0,4335.0,4458,4335,4452,4338,4697,4336
3,Abruzzo,115.0,1372.2,1451.0,1431,1327,1347,1409,1347,1566
3,Basilicata,7.0,598.4,567.0,606,555,646,528,657,574
3,Calabria,36.0,1907.2,1942.0,2021,1775,1885,1848,2007,1978
3,Campania,133.0,5026.0,4991.0,5240,4940,4912,5120,4918,5124
3,Emilia-Romagna,1640.0,4582.2,6121.0,4829,4333,4376,4672,4701,7761
3,Lazio,162.0,5245.4,5257.0,5436,5202,4983,5368,5238,5419
3,Liguria,428.0,1970.0,2610.0,2090,1899,1870,2069,1922,3038
3,Lombardia,7176.0,8778.4,18446.0,9017,8439,8469,8958,9009,25622
3,Marche,452.0,1620.0,1880.0,1721,1604,1595,1578,1602,2332
3,Molise,9.0,361.0,369.0,389,338,347,365,366,378
3,Piemonte,854.0,4739.6,6407.0,4822,4808,4536,4877,4655,7261
3,Puglia,110.0,3598.6,3933.0,3678,3380,3518,3636,3781,4043
3,Sardegna,31.0,1541.2,1691.0,1575,1506,1389,1621,1615,1722
3,Sicilia,81.0,5149.4,5070.0,5357,5024,5102,5127,5137,5151
3,Toscana,244.0,3998.0,4280.0,4168,3821,3867,4093,4041,4524
3,Trentino-Alto Adige,240.0,872.4,1178.0,930,860,786,895,891,1418
3,Umbria,37.0,962.6,1007.0,1031,904,946,925,1007,1044
