region,month,T_15,T_16,T_17,T_18,T_19,T_20
Abruzzo,1,1572,1431,1978,1672,1537,1459
Abruzzo,2,1468,1242,1337,1348,1402,1362
Abruzzo,3,1431,1327,1347,1409,1347,1566
Abruzzo,4,1250,1218,1220,1224,1223,1431
Abruzzo,5,1189,1244,1225,1141,1154,1208
Abruzzo,6,1138,1170,1209,1082,1182,1120
Abruzzo,7,1513,1147,1230,1156,1244,1155
Abruzzo,8,1193,1239,1434,1151,1144,1216
Abruzzo,9,1133,1035,1079,1106,1083,1038
Basilicata,1,628,576,744,725,644,564
Basilicata,2,600,553,522,573,660,602
Basilicata,3,606,555,646,528,657,574
Basilicata,4,549,579,522,509,504,586
Basilicata,5,503,502,501,506,548,535
Basilicata,6,495,469,469,462,536,460
Basilicata,7,583,497,551,522,543,505
Basilicata,8,526,491,595,477,497,517
Basilicata,9,450,457,485,442,467,445
Calabria,1,2162,1867,2621,2273,2275,2009
Calabria,2,2001,1752,1779,1770,1991,1732
Calabria,3,2021,1775,1885,1848,2007,1978
Calabria,4,1821,1695,1669,1599,1687,1823
Calabria,5,1568,1526,1583,1550,1626,1615
Calabria,6,1508,1573,1515,1393,1647,1551
Calabria,7,1718,1549,1609,1669,1635,1613
Calabria,8,1585,1488,1859,1573,1547,1729
Calabria,9,1474,1423,1486,1485,1379,1485
Campania,1,6278,5322,7074,5621,6257,5596
Campania,2,5363,4512,4793,5043,5143,4884
Campania,3,5240,4940,4912,5120,4918,5124
Campania,4,4632,4462,4376,4462,4517,4580
Campania,5,4351,4311,4432,4356,4338,4129
Campania,6,4147,3945,4039,3830,4412,3943
Campania,7,5118,4139,4366,4097,4286,4319
Campania,8,4387,4115,4823,4183,4196,4330
Campania,9,4053,3888,3959,3871,3813,3989
Emilia-Romagna,1,5321,4632,6113,5208,5005,4693
Emilia-Romagna,2,4767,4170,4334,4344,4570,4384
Emilia-Romagna,3,4829,4333,4376,4672,4701,7761
Emilia-Romagna,4,4140,3961,3955,4001,4013,6149
Emilia-Romagna,5,3945,4144,4049,3866,4135,4171
Emilia-Romagna,6,3836,3824,3810,3775,3909,3962
Emilia-Romagna,7,4490,3937,3920,3868,4066,4104
Emilia-Romagna,8,4055,3955,4051,4101,3921,4114
Emilia-Romagna,9,3798,3597,3748,3773,3805,3923
Friuli-Venezia Giulia,1,1656,1415,1818,1439,1446,1499
Friuli-Venezia Giulia,2,1406,1315,1402,1374,1322,1289
Friuli-Venezia Giulia,3,1411,1313,1327,1469,1244,1522
Friuli-Venezia Giulia,4,1256,1176,1158,1209,1148,1436
Friuli-Venezia Giulia,5,1153,1172,1243,1084,1218,1065
Friuli-Venezia Giulia,6,1088,1095,1116,1112,1183,1057
Friuli-Venezia Giulia,7,1251,1173,1037,1119,1066,1089
Friuli-Venezia Giulia,8,1183,1089,1101,1255,1123,1176
Friuli-Venezia Giulia,9,1102,1047,1069,1082,1103,1049
Lazio,1,6295,5371,7524,6057,6244,5627
Lazio,2,5439,4663,5076,4974,5458,4877
Lazio,3,5436,5202,4983,5368,5238,5419
Lazio,4,4861,4784,4768,4669,4781,4981
Lazio,5,4501,4544,4795,4515,4804,4497
Lazio,6,4417,4293,4527,4297,4803,4286
Lazio,7,5352,4562,4554,4662,4685,4730
Lazio,8,4693,4747,5187,4559,4461,4797
Lazio,9,4311,4067,4300,4242,4138,4409
Liguria,1,2296,1964,2677,2456,2112,1900
Liguria,2,2176,1796,1880,1942,1962,1762
Liguria,3,2090,1899,1870,2069,1922,3038
Liguria,4,1810,1700,1813,1723,1753,2862
Liguria,5,1791,1660,1904,1702,1648,1844
Liguria,6,1732,1673,1664,1654,1811,1654
Liguria,7,1978,1665,1634,1753,1722,1666
Liguria,8,1810,1694,1743,2052,1685,1778
Liguria,9,1603,1630,1626,1651,1551,1783
Lombardia,1,10536,9009,12183,10941,10191,9406
Lombardia,2,9342,8142,8631,8539,9512,8910
Lombardia,3,9017,8439,8469,8958,9009,25622
Lombardia,4,8032,7759,7752,8030,7939,17212
Lombardia,5,7547,7786,8189,7650,7946,8873
Lombardia,6,7395,7306,7361,7373,8161,7693
Lombardia,7,9387,7586,7339,7678,8084,7757
Lombardia,8,7784,7370,7745,8195,7729,7934
Lombardia,9,7181,7149,7382,7579,7329,7442
Marche,1,1808,1638,2188,1785,1670,1641
Marche,2,1681,1446,1494,1491,1644,1503
Marche,3,1721,1604,1595,1578,1602,2332
Marche,4,1484,1292,1383,1435,1474,1919
Marche,5,1475,1426,1443,1376,1409,1419
Marche,6,1423,1336,1429,1218,1351,1409
Marche,7,1827,1502,1459,1399,1514,1541
Marche,8,1302,1374,1759,1388,1436,1551
Marche,9,1312,1229,1310,1303,1320,1290
Molise,1,442,364,531,395,433,354
Molise,2,345,312,317,368,334,303
Molise,3,389,338,347,365,366,378
Molise,4,334,334,299,332,287,324
Molise,5,302,304,299,319,274,318
Molise,6,286,283,288,281,299,303
Molise,7,375,307,317,296,316,308
Molise,8,301,274,410,285,329,314
Molise,9,291,283,272,270,269,284
Piemonte,1,5634,4818,6239,6375,5260,4747
Piemonte,2,5207,4286,4686,4545,5160,4550
Piemonte,3,4822,4808,4536,4877,4655,7261
Piemonte,4,4377,4122,4081,4191,4235,7435
Piemonte,5,4219,4148,4401,4063,4235,4640
Piemonte,6,4109,3936,4138,3994,4363,3982
Piemonte,7,5092,4239,4074,4165,4638,4175
Piemonte,8,4151,3942,4350,4512,4016,4318
Piemonte,9,3902,3722,3886,3991,3811,3883
Puglia,1,4287,3668,4905,4231,4257,3979
Puglia,2,3613,3365,3354,3402,3783,3486
Puglia,3,3678,3380,3518,3636,3781,4043
Puglia,4,3335,3127,3141,3225,3262,3748
Puglia,5,3135,2985,3150,3041,3116,3153
Puglia,6,2841,2842,3183,2907,3237,3189
Puglia,7,3772,3119,3277,3088,3125,3329
Puglia,8,3308,2968,3683,3141,3091,3499
Puglia,9,2951,2712,2873,2944,2892,3091
Sardegna,1,1681,1528,1930,1733,1799,1662
Sardegna,2,1668,1433,1445,1569,1473,1496
Sardegna,3,1575,1506,1389,1621,1615,1722
Sardegna,4,1387,1352,1338,1372,1472,1541
Sardegna,5,1324,1337,1388,1259,1428,1331
Sardegna,6,1231,1211,1281,1231,1385,1237
Sardegna,7,1362,1243,1346,1353,1309,1398
Sardegna,8,1331,1270,1515,1246,1382,1452
Sardegna,9,1138,1237,1159,1201,1243,1319
Sicilia,1,5490,5156,6447,5782,6062,5312
Sicilia,2,5178,4680,5060,5017,5147,4594
Sicilia,3,5357,5024,5102,5127,5137,5151
Sicilia,4,4608,4298,4299,4362,4549,4571
Sicilia,5,4337,4025,4236,4015,4191,4146
Sicilia,6,3916,3842,4121,3766,4211,3752
Sicilia,7,4481,4098,4317,4123,4225,4136
Sicilia,8,4370,3944,4895,4012,4144,4617
Sicilia,9,3885,3591,3730,3779,3662,3843
Toscana,1,4716,4077,5395,4440,4385,4104
Toscana,2,4237,3509,3843,3868,3996,3693
Toscana,3,4168,3821,3867,4093,4041,4524
Toscana,4,3769,3479,3469,3434,3593,4208
Toscana,5,3665,3476,3581,3400,3480,3325
Toscana,6,3419,3203,3277,3161,3516,3248
Toscana,7,4036,3521,3275,3392,3633,3522
Toscana,8,3561,3250,3742,3703,3369,3765
Toscana,9,3251,3099,3216,3181,3259,3461
Trentino-Alto Adige,1,1008,840,1196,999,924,889
Trentino-Alto Adige,2,910,840,835,794,865,890
Trentino-Alto Adige,3,930,860,786,895,891,1418
Trentino-Alto Adige,4,788,752,742,781,796,1335
Trentino-Alto Adige,5,772,727,740,712,784,813
Trentino-Alto Adige,6,681,683,701,757,758,726
Trentino-Alto Adige,7,758,730,719,716,722,741
Trentino-Alto Adige,8,677,733,723,741,727,771
Trentino-Alto Adige,9,684,709,712,700,747,723
Umbria,1,1151,1000,1246,1080,1074,977
Umbria,2,1030,857,863,860,955,871
Umbria,3,1031,904,946,925,1007,1044
Umbria,4,920,868,846,800,838,866
Umbria,5,874,821,885,800,817,790
Umbria,6,753,754,832,732,848,777
Umbria,7,1050,830,827,792,875,806
Umbria,8,779,768,975,785,788,885
Umbria,9,767,772,722,741,747,779
Valle d'Aosta,1,155,125,180,165,156,125
Valle d'Aosta,2,142,121,126,135,125,130
Valle d'Aosta,3,138,126,121,139,147,205
Valle d'Aosta,4,146,122,110,111,107,203
Valle d'Aosta,5,132,125,124,122,103,120
Valle d'Aosta,6,123,99,117,110,107,110
Valle d'Aosta,7,154,132,115,124,119,108
Valle d'Aosta,8,104,116,107,115,93,130
Valle d'Aosta,9,111,101,113,101,106,103
Veneto,1,5398,4609,5699,4973,4929,4792
Veneto,2,4458,4335,4452,4338,4697,4336
Veneto,3,4528,4445,4431,4572,4311,5426
Veneto,4,4092,3824,3970,4045,3909,5184
Veneto,5,3895,4016,3978,3858,3930,4110
Veneto,6,3592,3723,3660,3604,3920,3780
Veneto,7,4163,3725,3659,3661,3827,3893
Veneto,8,3910,3814,3846,4089,3770,4067
Veneto,9,3627,3582,3576,3774,3745,3862
